patient_id,sex,population,superpopulation
NA18565,F,CHB,EAS
NA18566,F,CHB,EAS
NA18567,F,CHB,EAS
NA18570,F,CHB,EAS
NA18571,F,CHB,EAS
NA18572,M,CHB,EAS
NA18573,F,CHB,EAS
NA18574,F,CHB,EAS
NA18577,F,CHB,EAS
NA18579,F,CHB,EAS
NA18582,F,CHB,EAS
NA18591,F,CHB,EAS
NA18592,F,CHB,EAS
NA18593,F,CHB,EAS
NA18595,F,CHB,EAS
NA18596,F,CHB,EAS
NA18597,F,CHB,EAS
NA18599,F,CHB,EAS
NA18602,F,CHB,EAS
NA18603,M,CHB,EAS
NA18605,M,CHB,EAS
NA18606,M,CHB,EAS
NA18608,M,CHB,EAS
NA18609,M,CHB,EAS
NA18610,F,CHB,EAS
NA18611,M,CHB,EAS
NA18612,M,CHB,EAS
NA18613,M,CHB,EAS
NA18614,F,CHB,EAS
NA18615,F,CHB,EAS
NA18616,F,CHB,EAS
NA18617,F,CHB,EAS
NA18618,F,CHB,EAS
NA18619,F,CHB,EAS
NA18620,M,CHB,EAS
NA18621,M,CHB,EAS
NA18622,M,CHB,EAS
NA18623,M,CHB,EAS
NA18624,M,CHB,EAS
NA18625,F,CHB,EAS
NA18626,F,CHB,EAS
NA18627,F,CHB,EAS
NA18628,F,CHB,EAS
NA18629,M,CHB,EAS
NA18630,F,CHB,EAS
NA18631,F,CHB,EAS
NA18632,M,CHB,EAS
NA18633,M,CHB,EAS
NA18634,F,CHB,EAS
NA18635,M,CHB,EAS
NA18636,M,CHB,EAS
NA18637,M,CHB,EAS
NA18638,M,CHB,EAS
NA18639,M,CHB,EAS
NA18640,F,CHB,EAS
NA18641,F,CHB,EAS
NA18642,F,CHB,EAS
NA18643,M,CHB,EAS
NA18644,F,CHB,EAS
NA18645,M,CHB,EAS
NA18646,F,CHB,EAS
NA18647,M,CHB,EAS
NA18648,M,CHB,EAS
NA18740,M,CHB,EAS
NA18745,M,CHB,EAS
NA18747,M,CHB,EAS
NA18748,M,CHB,EAS
NA18749,M,CHB,EAS
NA18757,M,CHB,EAS
NA18852,F,YRI,AFR
NA18853,M,YRI,AFR
NA18854,M,YRI,AFR
NA18855,F,YRI,AFR
NA18856,M,YRI,AFR
NA18857,M,YRI,AFR
NA18858,F,YRI,AFR
NA18859,M,YRI,AFR
NA18860,M,YRI,AFR
NA18861,F,YRI,AFR
NA18862,M,YRI,AFR
NA18863,M,YRI,AFR
NA18864,F,YRI,AFR
NA18865,M,YRI,AFR
NA18867,F,YRI,AFR
NA18868,M,YRI,AFR
NA18869,M,YRI,AFR
NA18870,F,YRI,AFR
NA18871,M,YRI,AFR
NA18872,M,YRI,AFR
NA18873,F,YRI,AFR
NA18874,M,YRI,AFR
NA18875,F,YRI,AFR
NA18876,F,YRI,AFR
NA18877,M,YRI,AFR
NA18878,F,YRI,AFR
NA18879,M,YRI,AFR
NA18881,F,YRI,AFR
NA18906,F,YRI,AFR
NA18907,F,YRI,AFR
NA18908,M,YRI,AFR
NA18909,F,YRI,AFR
NA18910,M,YRI,AFR
NA18911,M,YRI,AFR
NA18912,F,YRI,AFR
NA18913,M,YRI,AFR
NA18914,M,YRI,AFR
NA18915,M,YRI,AFR
NA18916,F,YRI,AFR
NA18917,M,YRI,AFR
NA18923,M,YRI,AFR
NA18924,F,YRI,AFR
NA18925,M,YRI,AFR
NA18930,F,YRI,AFR
NA18933,F,YRI,AFR
NA18934,M,YRI,AFR
NA18935,M,YRI,AFR
NA18939,F,JPT,EAS
NA18940,M,JPT,EAS
NA18941,F,JPT,EAS
NA18942,F,JPT,EAS
NA18943,M,JPT,EAS
NA18944,M,JPT,EAS
NA18945,M,JPT,EAS
NA18946,F,JPT,EAS
NA18947,F,JPT,EAS
NA18948,M,JPT,EAS
NA18949,F,JPT,EAS
NA18950,F,JPT,EAS
NA18951,F,JPT,EAS
NA18952,M,JPT,EAS
NA18953,M,JPT,EAS
NA18954,F,JPT,EAS
NA18956,F,JPT,EAS
NA18957,F,JPT,EAS
NA18959,M,JPT,EAS
NA18960,M,JPT,EAS
NA18961,M,JPT,EAS
NA18962,M,JPT,EAS
NA18963,F,JPT,EAS
NA18964,F,JPT,EAS
NA18965,M,JPT,EAS
NA18966,M,JPT,EAS
NA18967,M,JPT,EAS
NA18968,F,JPT,EAS
NA18969,F,JPT,EAS
NA18970,M,JPT,EAS
NA18971,M,JPT,EAS
NA18972,F,JPT,EAS
NA18973,F,JPT,EAS
NA18974,M,JPT,EAS
NA18975,F,JPT,EAS
NA18976,F,JPT,EAS
NA18977,M,JPT,EAS
NA18978,F,JPT,EAS
NA18979,F,JPT,EAS
NA18980,F,JPT,EAS
NA18981,F,JPT,EAS
NA18982,M,JPT,EAS
NA18983,M,JPT,EAS
NA18984,M,JPT,EAS
NA18985,M,JPT,EAS
NA18986,M,JPT,EAS
NA18987,F,JPT,EAS
NA18988,M,JPT,EAS
NA18989,M,JPT,EAS
NA18990,M,JPT,EAS
NA18991,F,JPT,EAS
NA18992,F,JPT,EAS
NA18993,F,JPT,EAS
NA18994,M,JPT,EAS
NA18995,M,JPT,EAS
NA18997,F,JPT,EAS
NA18998,F,JPT,EAS
NA18999,F,JPT,EAS
NA19000,M,JPT,EAS
NA19001,F,JPT,EAS
NA19002,F,JPT,EAS
NA19003,F,JPT,EAS
NA19004,M,JPT,EAS
NA19005,M,JPT,EAS
NA19006,M,JPT,EAS
NA19007,M,JPT,EAS
NA19009,M,JPT,EAS
NA19010,F,JPT,EAS
NA19011,F,JPT,EAS
NA19012,M,JPT,EAS
NA19017,F,LWK,AFR
NA19019,F,LWK,AFR
NA19020,M,LWK,AFR
NA19023,F,LWK,AFR
NA19024,F,LWK,AFR
NA19025,M,LWK,AFR
NA19026,M,LWK,AFR
NA19027,M,LWK,AFR
NA19028,M,LWK,AFR
NA19030,F,LWK,AFR
NA19031,M,LWK,AFR
NA19035,M,LWK,AFR
NA19036,F,LWK,AFR
NA19037,F,LWK,AFR
NA19038,F,LWK,AFR
NA19041,M,LWK,AFR
NA19042,F,LWK,AFR
NA19043,M,LWK,AFR
NA19054,F,JPT,EAS
NA19055,M,JPT,EAS
NA19056,M,JPT,EAS
NA19057,F,JPT,EAS
NA19058,M,JPT,EAS
NA19059,F,JPT,EAS
NA19060,M,JPT,EAS
NA19062,M,JPT,EAS
NA19063,M,JPT,EAS
NA19064,F,JPT,EAS
NA19065,F,JPT,EAS
NA19066,M,JPT,EAS
NA19067,M,JPT,EAS
NA19068,M,JPT,EAS
NA19070,M,JPT,EAS
NA19072,M,JPT,EAS
NA19074,F,JPT,EAS
NA19075,M,JPT,EAS
NA19076,M,JPT,EAS
NA19077,F,JPT,EAS
NA19078,F,JPT,EAS
NA19079,M,JPT,EAS
NA19080,F,JPT,EAS
NA19081,F,JPT,EAS
NA19082,M,JPT,EAS
NA19083,M,JPT,EAS
NA19084,F,JPT,EAS
NA19085,M,JPT,EAS
NA19086,M,JPT,EAS
NA19087,F,JPT,EAS
NA19088,M,JPT,EAS
NA19089,M,JPT,EAS
NA19090,F,JPT,EAS
NA19091,M,JPT,EAS
NA19092,M,YRI,AFR
NA19093,F,YRI,AFR
NA19094,F,YRI,AFR
NA19095,F,YRI,AFR
NA19096,M,YRI,AFR
NA19097,F,YRI,AFR
NA19098,M,YRI,AFR
NA19099,F,YRI,AFR
NA19100,F,YRI,AFR
NA19101,M,YRI,AFR
NA19102,F,YRI,AFR
NA19103,M,YRI,AFR
NA19107,M,YRI,AFR
NA19108,F,YRI,AFR
NA19109,F,YRI,AFR
NA19113,M,YRI,AFR
NA19114,F,YRI,AFR
NA19115,F,YRI,AFR
NA19116,F,YRI,AFR
NA19117,M,YRI,AFR
NA19118,F,YRI,AFR
NA19119,M,YRI,AFR
NA19120,M,YRI,AFR
NA19121,M,YRI,AFR
NA19122,F,YRI,AFR
NA19123,M,YRI,AFR
NA19127,F,YRI,AFR
NA19128,M,YRI,AFR
NA19129,F,YRI,AFR
NA19130,M,YRI,AFR
NA19131,F,YRI,AFR
NA19132,F,YRI,AFR
NA19137,F,YRI,AFR
NA19138,M,YRI,AFR
NA19139,M,YRI,AFR
NA19140,F,YRI,AFR
NA19141,M,YRI,AFR
NA19142,M,YRI,AFR
NA19143,F,YRI,AFR
NA19144,M,YRI,AFR
NA19145,M,YRI,AFR
NA19146,M,YRI,AFR
NA19147,F,YRI,AFR
NA19148,F,YRI,AFR
NA19149,F,YRI,AFR
NA19150,M,YRI,AFR
NA19151,F,YRI,AFR
NA19152,F,YRI,AFR
NA19153,M,YRI,AFR
NA19154,M,YRI,AFR
NA19159,F,YRI,AFR
NA19160,M,YRI,AFR
NA19161,M,YRI,AFR
NA19171,M,YRI,AFR
NA19172,F,YRI,AFR
NA19173,M,YRI,AFR
NA19174,M,YRI,AFR
NA19175,M,YRI,AFR
NA19176,F,YRI,AFR
NA19177,M,YRI,AFR
NA19184,M,YRI,AFR
NA19185,F,YRI,AFR
NA19186,M,YRI,AFR
NA19189,M,YRI,AFR
NA19190,F,YRI,AFR
NA19191,M,YRI,AFR
NA19197,F,YRI,AFR
NA19198,M,YRI,AFR
NA19199,F,YRI,AFR
NA19200,M,YRI,AFR
NA19201,F,YRI,AFR
NA19202,F,YRI,AFR
NA19203,M,YRI,AFR
NA19204,F,YRI,AFR
NA19205,M,YRI,AFR
NA19206,F,YRI,AFR
NA19207,M,YRI,AFR
NA19208,M,YRI,AFR
NA19209,F,YRI,AFR
NA19210,M,YRI,AFR
NA19211,M,YRI,AFR
NA19213,M,YRI,AFR
NA19214,F,YRI,AFR
NA19215,F,YRI,AFR
NA19221,F,YRI,AFR
NA19222,F,YRI,AFR
NA19223,M,YRI,AFR
NA19224,M,YRI,AFR
NA19225,F,YRI,AFR
NA19226,M,YRI,AFR
NA19235,F,YRI,AFR
NA19236,M,YRI,AFR
NA19237,F,YRI,AFR
NA19238,F,YRI,AFR
NA19239,M,YRI,AFR
NA19240,F,YRI,AFR
NA19247,F,YRI,AFR
NA19248,M,YRI,AFR
NA19249,M,YRI,AFR
NA19256,M,YRI,AFR
NA19257,F,YRI,AFR
NA19258,M,YRI,AFR
NA19307,M,LWK,AFR
NA19308,M,LWK,AFR
NA19309,M,LWK,AFR
NA19310,F,LWK,AFR
NA19312,M,LWK,AFR
NA19314,F,LWK,AFR
NA19315,F,LWK,AFR
NA19316,F,LWK,AFR
NA19317,M,LWK,AFR
NA19318,M,LWK,AFR
NA19319,M,LWK,AFR
NA19320,F,LWK,AFR
NA19321,F,LWK,AFR
NA19323,F,LWK,AFR
NA19324,F,LWK,AFR
NA19327,F,LWK,AFR
NA19328,F,LWK,AFR
NA19331,M,LWK,AFR
NA19332,F,LWK,AFR
NA19334,M,LWK,AFR
NA19338,F,LWK,AFR
NA19346,M,LWK,AFR
NA19347,M,LWK,AFR
NA19350,M,LWK,AFR
NA19351,F,LWK,AFR
NA19355,F,LWK,AFR
NA19360,M,LWK,AFR
NA19372,M,LWK,AFR
NA19374,M,LWK,AFR
NA19375,M,LWK,AFR
NA19376,M,LWK,AFR
NA19377,F,LWK,AFR
NA19378,F,LWK,AFR
NA19379,F,LWK,AFR
NA19380,M,LWK,AFR
NA19383,M,LWK,AFR
NA19384,M,LWK,AFR
NA19385,M,LWK,AFR
NA19390,F,LWK,AFR
NA19391,F,LWK,AFR
NA19393,M,LWK,AFR
NA19394,M,LWK,AFR
NA19395,F,LWK,AFR
NA19397,M,LWK,AFR
NA19399,F,LWK,AFR
NA19401,F,LWK,AFR
NA19403,F,LWK,AFR
NA19404,F,LWK,AFR
NA19428,M,LWK,AFR
NA19429,M,LWK,AFR
NA19430,M,LWK,AFR
NA19431,F,LWK,AFR
NA19434,F,LWK,AFR
NA19435,F,LWK,AFR
NA19436,F,LWK,AFR
NA19437,F,LWK,AFR
NA19438,F,LWK,AFR
NA19439,F,LWK,AFR
NA19440,F,LWK,AFR
NA19443,M,LWK,AFR
NA19445,F,LWK,AFR
NA19446,F,LWK,AFR
NA19448,M,LWK,AFR
NA19449,F,LWK,AFR
NA19451,M,LWK,AFR
NA19452,M,LWK,AFR
NA19454,M,LWK,AFR
NA19455,M,LWK,AFR
NA19456,F,LWK,AFR
NA19457,F,LWK,AFR
NA19461,M,LWK,AFR
NA19462,F,LWK,AFR
NA19463,F,LWK,AFR
NA19466,M,LWK,AFR
NA19467,F,LWK,AFR
NA19468,F,LWK,AFR
NA19471,F,LWK,AFR
NA19472,F,LWK,AFR
NA19473,F,LWK,AFR
NA19474,F,LWK,AFR
NA19475,F,LWK,AFR
NA19625,F,ASW,AFR
NA19648,F,MXL,AMR
NA19649,M,MXL,AMR
NA19650,M,MXL,AMR
NA19651,F,MXL,AMR
NA19652,M,MXL,AMR
NA19653,F,MXL,AMR
NA19654,F,MXL,AMR
NA19655,M,MXL,AMR
NA19656,F,MXL,AMR
NA19657,F,MXL,AMR
NA19658,M,MXL,AMR
NA19659,F,MXL,AMR
NA19660,F,MXL,AMR
NA19661,M,MXL,AMR
NA19662,F,MXL,AMR
NA19663,F,MXL,AMR
NA19664,M,MXL,AMR
NA19665,F,MXL,AMR
NA19669,F,MXL,AMR
NA19670,M,MXL,AMR
NA19671,F,MXL,AMR
NA19675,F,MXL,AMR
NA19676,M,MXL,AMR
NA19677,F,MXL,AMR
NA19678,F,MXL,AMR
NA19679,M,MXL,AMR
NA19680,F,MXL,AMR
NA19681,F,MXL,AMR
NA19682,M,MXL,AMR
NA19683,F,MXL,AMR
NA19684,F,MXL,AMR
NA19685,M,MXL,AMR
NA19686,F,MXL,AMR
NA19700,M,ASW,AFR
NA19701,F,ASW,AFR
NA19702,M,ASW,AFR
NA19703,M,ASW,AFR
NA19704,F,ASW,AFR
NA19705,M,ASW,AFR
NA19707,F,ASW,AFR
NA19711,M,ASW,AFR
NA19712,F,ASW,AFR
NA19713,F,ASW,AFR
NA19716,F,MXL,AMR
NA19717,M,MXL,AMR
NA19718,F,MXL,AMR
NA19719,F,MXL,AMR
NA19720,M,MXL,AMR
NA19721,F,MXL,AMR
NA19722,F,MXL,AMR
NA19723,M,MXL,AMR
NA19724,M,MXL,AMR
NA19725,F,MXL,AMR
NA19726,M,MXL,AMR
NA19727,M,MXL,AMR
NA19728,F,MXL,AMR
NA19729,M,MXL,AMR
NA19730,F,MXL,AMR
NA19731,F,MXL,AMR
NA19732,M,MXL,AMR
NA19733,F,MXL,AMR
NA19734,F,MXL,AMR
NA19735,M,MXL,AMR
NA19740,F,MXL,AMR
NA19741,M,MXL,AMR
NA19746,F,MXL,AMR
NA19747,M,MXL,AMR
NA19748,F,MXL,AMR
NA19749,F,MXL,AMR
NA19750,M,MXL,AMR
NA19751,M,MXL,AMR
NA19752,F,MXL,AMR
NA19755,F,MXL,AMR
NA19756,M,MXL,AMR
NA19757,M,MXL,AMR
NA19758,F,MXL,AMR
NA19759,M,MXL,AMR
NA19760,F,MXL,AMR
NA19761,F,MXL,AMR
NA19762,M,MXL,AMR
NA19763,F,MXL,AMR
NA19764,F,MXL,AMR
NA19770,F,MXL,AMR
NA19771,M,MXL,AMR
NA19772,M,MXL,AMR
NA19773,F,MXL,AMR
NA19774,M,MXL,AMR
NA19775,F,MXL,AMR
NA19776,F,MXL,AMR
NA19777,M,MXL,AMR
NA19778,M,MXL,AMR
NA19779,F,MXL,AMR
NA19780,M,MXL,AMR
NA19781,F,MXL,AMR
NA19782,F,MXL,AMR
NA19783,M,MXL,AMR
NA19784,M,MXL,AMR
NA19785,F,MXL,AMR
NA19786,M,MXL,AMR
NA19787,M,MXL,AMR
NA19788,F,MXL,AMR
NA19789,M,MXL,AMR
NA19790,F,MXL,AMR
NA19792,M,MXL,AMR
NA19794,F,MXL,AMR
NA19795,M,MXL,AMR
NA19796,M,MXL,AMR
NA19818,M,ASW,AFR
NA19819,F,ASW,AFR
NA19828,M,ASW,AFR
NA19834,M,ASW,AFR
NA19835,F,ASW,AFR
NA19836,F,ASW,AFR
NA19900,M,ASW,AFR
NA19901,F,ASW,AFR
NA19902,F,ASW,AFR
NA19904,M,ASW,AFR
NA19908,M,ASW,AFR
NA19909,F,ASW,AFR
NA19913,F,ASW,AFR
NA19914,F,ASW,AFR
NA19916,M,ASW,AFR
NA19917,F,ASW,AFR
NA19918,M,ASW,AFR
NA19919,M,ASW,AFR
NA19920,M,ASW,AFR
NA19921,F,ASW,AFR
NA19922,M,ASW,AFR
NA19923,F,ASW,AFR
NA19924,F,ASW,AFR
NA19982,M,ASW,AFR
NA19983,F,ASW,AFR
NA19984,M,ASW,AFR
NA20126,M,ASW,AFR
NA20127,F,ASW,AFR
NA20128,F,ASW,AFR
NA20129,F,ASW,AFR
NA20274,F,ASW,AFR
NA20276,F,ASW,AFR
NA20278,M,ASW,AFR
NA20279,M,ASW,AFR
NA20281,M,ASW,AFR
NA20282,F,ASW,AFR
NA20287,F,ASW,AFR
NA20289,F,ASW,AFR
NA20291,M,ASW,AFR
NA20294,F,ASW,AFR
NA20296,F,ASW,AFR
NA20298,M,ASW,AFR
NA20299,F,ASW,AFR
NA20314,F,ASW,AFR
NA20317,F,ASW,AFR
NA20318,M,ASW,AFR
NA20320,F,ASW,AFR
NA20321,F,ASW,AFR
NA20332,F,ASW,AFR
NA20334,F,ASW,AFR
NA20339,F,ASW,AFR
NA20340,M,ASW,AFR
NA20342,M,ASW,AFR
NA20346,M,ASW,AFR
NA20348,M,ASW,AFR
NA20351,M,ASW,AFR
NA20355,F,ASW,AFR
NA20356,M,ASW,AFR
NA20357,F,ASW,AFR
NA20358,M,ASW,AFR
NA20359,F,ASW,AFR
NA20362,M,ASW,AFR
NA20412,F,ASW,AFR
NA20502,F,TSI,EUR
NA20503,F,TSI,EUR
NA20504,F,TSI,EUR
NA20505,F,TSI,EUR
NA20506,F,TSI,EUR
NA20507,F,TSI,EUR
NA20508,F,TSI,EUR
NA20509,M,TSI,EUR
NA20510,M,TSI,EUR
NA20511,M,TSI,EUR
NA20512,M,TSI,EUR
NA20513,M,TSI,EUR
NA20514,F,TSI,EUR
NA20515,M,TSI,EUR
NA20516,M,TSI,EUR
NA20517,F,TSI,EUR
NA20518,M,TSI,EUR
NA20519,M,TSI,EUR
NA20520,M,TSI,EUR
NA20521,M,TSI,EUR
NA20522,F,TSI,EUR
NA20524,M,TSI,EUR
NA20525,M,TSI,EUR
NA20527,M,TSI,EUR
NA20528,M,TSI,EUR
NA20529,F,TSI,EUR
NA20530,F,TSI,EUR
NA20531,F,TSI,EUR
NA20532,M,TSI,EUR
NA20533,F,TSI,EUR
NA20534,M,TSI,EUR
NA20535,F,TSI,EUR
NA20536,M,TSI,EUR
NA20538,M,TSI,EUR
NA20539,M,TSI,EUR
NA20540,F,TSI,EUR
NA20541,F,TSI,EUR
NA20542,F,TSI,EUR
NA20543,M,TSI,EUR
NA20544,M,TSI,EUR
NA20581,M,TSI,EUR
NA20582,F,TSI,EUR
NA20585,F,TSI,EUR
NA20586,M,TSI,EUR
NA20587,F,TSI,EUR
NA20588,M,TSI,EUR
NA20589,F,TSI,EUR
NA20752,M,TSI,EUR
NA20753,F,TSI,EUR
NA20754,M,TSI,EUR
NA20755,M,TSI,EUR
NA20756,F,TSI,EUR
NA20757,F,TSI,EUR
NA20758,M,TSI,EUR
NA20759,M,TSI,EUR
NA20760,F,TSI,EUR
NA20761,F,TSI,EUR
NA20762,M,TSI,EUR
NA20763,M,TSI,EUR
NA20764,F,TSI,EUR
NA20765,M,TSI,EUR
NA20766,F,TSI,EUR
NA20767,M,TSI,EUR
NA20768,F,TSI,EUR
NA20769,F,TSI,EUR
NA20770,M,TSI,EUR
NA20771,F,TSI,EUR
NA20772,F,TSI,EUR
NA20773,F,TSI,EUR
NA20774,F,TSI,EUR
NA20775,F,TSI,EUR
NA20778,M,TSI,EUR
NA20783,M,TSI,EUR
NA20785,M,TSI,EUR
NA20786,F,TSI,EUR
NA20787,M,TSI,EUR
NA20790,F,TSI,EUR
NA20792,M,TSI,EUR
NA20795,F,TSI,EUR
NA20796,M,TSI,EUR
NA20797,F,TSI,EUR
NA20798,M,TSI,EUR
NA20799,F,TSI,EUR
NA20800,F,TSI,EUR
NA20801,M,TSI,EUR
NA20802,F,TSI,EUR
NA20803,M,TSI,EUR
NA20804,F,TSI,EUR
NA20805,M,TSI,EUR
NA20806,M,TSI,EUR
NA20807,F,TSI,EUR
NA20808,F,TSI,EUR
NA20809,M,TSI,EUR
NA20810,M,TSI,EUR
NA20811,M,TSI,EUR
NA20812,M,TSI,EUR
NA20813,F,TSI,EUR
NA20814,M,TSI,EUR
NA20815,M,TSI,EUR
NA20818,F,TSI,EUR
NA20819,F,TSI,EUR
NA20821,F,TSI,EUR
NA20822,F,TSI,EUR
NA20826,F,TSI,EUR
NA20827,M,TSI,EUR
NA20828,F,TSI,EUR
NA20832,F,TSI,EUR
NA20845,M,GIH,SAS
NA20846,M,GIH,SAS
NA20847,F,GIH,SAS
NA20849,F,GIH,SAS
NA20850,M,GIH,SAS
NA20851,F,GIH,SAS
NA20852,M,GIH,SAS
NA20853,F,GIH,SAS
NA20854,F,GIH,SAS
NA20856,F,GIH,SAS
NA20858,M,GIH,SAS
NA20859,F,GIH,SAS
NA20861,M,GIH,SAS
NA20862,F,GIH,SAS
NA20863,M,GIH,SAS
NA20864,M,GIH,SAS
NA20866,M,GIH,SAS
NA20867,M,GIH,SAS
NA20868,F,GIH,SAS
NA20869,F,GIH,SAS
NA20870,M,GIH,SAS
NA20872,F,GIH,SAS
NA20874,F,GIH,SAS
NA20875,F,GIH,SAS
NA20876,F,GIH,SAS
NA20877,F,GIH,SAS
NA20878,F,GIH,SAS
NA20881,F,GIH,SAS
NA20882,F,GIH,SAS
NA20884,M,GIH,SAS
NA20885,M,GIH,SAS
NA20886,F,GIH,SAS
NA20887,M,GIH,SAS
NA20888,F,GIH,SAS
NA20889,M,GIH,SAS
NA20890,M,GIH,SAS
NA20891,M,GIH,SAS
NA20892,F,GIH,SAS
NA20894,F,GIH,SAS
NA20895,M,GIH,SAS
NA20896,F,GIH,SAS
NA20897,M,GIH,SAS
NA20899,F,GIH,SAS
NA20900,F,GIH,SAS
NA20901,M,GIH,SAS
NA20902,F,GIH,SAS
NA20903,M,GIH,SAS
NA20904,M,GIH,SAS
NA20905,M,GIH,SAS
NA20906,F,GIH,SAS
NA20908,F,GIH,SAS
NA20910,F,GIH,SAS
NA20911,M,GIH,SAS
NA21086,F,GIH,SAS
NA21087,M,GIH,SAS
NA21088,F,GIH,SAS
NA21089,F,GIH,SAS
NA21090,M,GIH,SAS
NA21091,M,GIH,SAS
NA21092,M,GIH,SAS
NA21093,M,GIH,SAS
NA21094,M,GIH,SAS
NA21095,M,GIH,SAS
NA21097,F,GIH,SAS
NA21098,M,GIH,SAS
NA21099,M,GIH,SAS
NA21100,M,GIH,SAS
NA21101,F,GIH,SAS
NA21102,F,GIH,SAS
NA21103,F,GIH,SAS
NA21104,M,GIH,SAS
NA21105,M,GIH,SAS
NA21106,F,GIH,SAS
NA21107,M,GIH,SAS
NA21108,F,GIH,SAS
NA21109,M,GIH,SAS
NA21110,F,GIH,SAS
NA21111,M,GIH,SAS
NA21112,M,GIH,SAS
NA21113,M,GIH,SAS
NA21114,M,GIH,SAS
NA21115,M,GIH,SAS
NA21116,M,GIH,SAS
NA21117,M,GIH,SAS
NA21118,M,GIH,SAS
NA21119,M,GIH,SAS
NA21120,F,GIH,SAS
NA21122,F,GIH,SAS
NA21123,M,GIH,SAS
NA21124,M,GIH,SAS
NA21125,F,GIH,SAS
NA21126,M,GIH,SAS
NA21127,M,GIH,SAS
NA21128,M,GIH,SAS
NA21129,M,GIH,SAS
NA21130,M,GIH,SAS
NA21133,M,GIH,SAS
NA21135,M,GIH,SAS
NA21137,F,GIH,SAS
NA21141,F,GIH,SAS
NA21142,F,GIH,SAS
NA21143,F,GIH,SAS
NA21144,F,GIH,SAS
