repeat,grch38_sex_M,grch38_sex_F,grch38_gap,t2t_sex_M,t2t_sex_F,t2t_gap,delta_delta,model
0,0.9859487624837168,0.975609756097561,0.010339006386155813,0.986122448979592,0.9804878048780488,0.00563464410154324,0.004704362284612573,logistic_regression
1,0.9843161094224924,0.9902439024390244,-0.0059277930165320125,0.9745201910551454,0.9815927396483268,-0.007072548593181405,0.0011447555766493922,logistic_regression
2,0.9844897959183674,0.9872135994087212,-0.0027238034903538377,0.9816326530612246,0.977684387837536,0.0039482652236886295,-0.006672068714042467,logistic_regression
3,0.965714285714286,0.9634885439763488,0.0022257417379372146,0.9671732522796352,0.963715429966139,0.0034578223134962283,-0.0012320805755590136,logistic_regression
4,0.9702648719062094,0.9813658536585363,-0.011100981752326988,0.9688059053408598,0.9773658536585366,-0.008559948317676813,-0.002541033434650175,logistic_regression
5,0.96734693877551,0.9813658536585363,-0.014018914883026312,0.9559183673469388,0.9785624366180236,-0.022644069271084755,0.008625154388058442,logistic_regression
6,0.9885714285714288,0.9539453067257944,0.034626121845634406,0.9885714285714288,0.9774575018477456,0.011113926723683165,0.02351219512195124,logistic_regression
7,0.9700911854103342,0.9853658536585366,-0.015274668248202339,0.9787755102040816,0.9804878048780488,-0.001712294673967163,-0.013562373574235176,logistic_regression
8,0.9971428571428572,0.9951219512195122,0.002020905923345029,0.970030395136778,0.975609756097561,-0.005579360960782931,0.00760026688412796,logistic_regression
9,0.965775075987842,0.9583990787053748,0.007375997282467184,0.9586018237082068,0.9411589061345158,0.017442917573690986,-0.010066920291223802,logistic_regression
10,0.9728875379939208,0.9872135994087212,-0.014326061414800417,0.9771428571428572,0.9823355506282336,-0.005192693485376432,-0.009133367929423986,logistic_regression
11,0.9671732522796352,0.9853658536585366,-0.01819260137890133,0.9686322188449848,0.9871219512195122,-0.018489732374527335,0.00029713099562600487,logistic_regression
12,0.965714285714286,0.9734575018477456,-0.0077432161334596294,0.9616326530612244,0.9872135994087212,-0.025580946347496858,0.01783773021403723,logistic_regression
13,0.9771428571428572,0.9969696969696968,-0.019826839826839637,0.9786018237082066,0.9953488372093025,-0.016747013501095864,-0.003079826325743773,logistic_regression
14,0.965714285714286,0.989061345158906,-0.02334705944462001,0.9771428571428572,0.9762749445676274,0.0008679125752297789,-0.02421497201984979,logistic_regression
15,0.9859487624837168,0.9902439024390244,-0.004295139955307614,0.9816326530612246,0.9855927396483268,-0.0039600865871022295,-0.00033505336820538467,logistic_regression
16,0.9735301780286584,0.972579453067258,0.0009507249614003621,0.9733564915327833,0.9832135994087212,-0.009857107875937965,0.010807832837338327,logistic_regression
17,0.9802344767694312,0.9734575018477456,0.006776974921685608,0.9916630481980026,0.9880916481892092,0.0035714000087933018,0.003205574912892306,logistic_regression
18,0.9885714285714288,0.9823355506282336,0.006235877943195134,0.9828571428571428,0.972806339057048,0.01005080380009471,-0.003814925856899576,logistic_regression
19,0.9671732522796352,0.9695491500369549,-0.0023758977573196116,0.9714285714285716,0.9560199384657692,0.015408632962802482,-0.017784530720122094,logistic_regression
0,0.9447850629613548,0.9332660238230288,0.01151903913832597,0.9231977613740532,0.95655133295519,-0.03335357158113683,0.0448726107194628,random_forest
1,0.9402344767694312,0.9764878048780488,-0.03625332810861759,0.9288059053408596,0.9491916556374866,-0.020385750296627037,-0.015867577811990552,random_forest
2,0.965714285714286,0.9492941439350968,0.016420141779189157,0.9514739229024944,0.9351137695732138,0.016360153329280647,5.9988449908510155e-05,random_forest
3,0.9115955034496068,0.9416126781140962,-0.030017174664489388,0.9086775703189078,0.9420462824501395,-0.033368712131231715,0.003351537466742327,random_forest
4,0.9531220147633522,0.9057538287010776,0.047368186062274664,0.9418671298306556,0.8975362702464235,0.04433085958423211,0.003037326478042557,random_forest
5,0.9304385584020842,0.9583074305161656,-0.0278688721140814,0.9065914025184542,0.941521029924887,-0.034929627406432795,0.007060755292351395,random_forest
6,0.9490403821102908,0.9308868835834236,0.018153498526867207,0.9317238384715588,0.9359716507101644,-0.004247812238605597,0.022401310765472804,random_forest
7,0.929085733584214,0.9520975609756096,-0.023011827391395623,0.9402344767694312,0.9419171866137266,-0.0016827098442954158,-0.021329117547100207,random_forest
8,0.9730612244897958,0.9334634146341464,0.039597809855649424,0.9326984126984126,0.9296903006239364,0.0030081120744761547,0.03658969778117327,random_forest
9,0.9374381241858446,0.9195099262620532,0.01792819792379141,0.9158508225985428,0.9052985441482322,0.010552278450310593,0.007375919473480819,random_forest
10,0.929902060114826,0.940189209164819,-0.01028714904999295,0.9010508033000434,0.9408496994906524,-0.03979889619060906,0.029511747140616107,random_forest
11,0.9420408163265306,0.9336903006239364,0.008350515702594152,0.9518367346938774,0.9479001701644924,0.003936564529385067,0.004413951173209085,random_forest
12,0.9362744246634824,0.9483244469654,-0.01205002230191754,0.9207487817822164,0.9438800025209554,-0.023131220738738967,0.011081198436821427,random_forest
13,0.9508467216673904,0.9665343165059556,-0.01568759483856519,0.9590099869735128,0.9485606604903258,0.010449326483186971,-0.02613692132175216,random_forest
14,0.919743329956096,0.9265247597930524,-0.0067814298369563986,0.9271732522796352,0.932280857354028,-0.005107605074392785,-0.0016738247625636138,random_forest
15,0.9503102233801322,0.943446398184912,0.006863825195220108,0.949214068606166,0.9339171866137266,0.015296881992439393,-0.008433056797219285,random_forest
16,0.9503102233801322,0.9583990787053748,-0.008088855325242617,0.9292594200800888,0.9484160951546092,-0.019156675074520457,0.01106781974927784,random_forest
17,0.9590099869735128,0.941294143935097,0.01771584303841578,0.9402344767694312,0.9366429811443991,0.0035914956250320262,0.014124347413383753,random_forest
18,0.9516630481980024,0.9436732841747022,0.007989764023300205,0.949214068606166,0.9281704165878868,0.02104365201827918,-0.013053887994978974,random_forest
19,0.9671732522796352,0.9266599975936334,0.040513254686001865,0.912932889467844,0.9266491574852324,-0.013716268017388344,0.05422952270339021,random_forest
0,0.9688059053408598,0.9804878048780488,-0.011681899537189011,0.9647242726877984,0.9758366420873512,-0.011112369399552846,-0.000569530137636165,xgboost
1,0.9714285714285716,0.9853658536585366,-0.013937282229964931,0.9443161094224924,0.9813658536585363,-0.0370497442360439,0.02311246200607897,xgboost
2,0.965714285714286,0.9532941439350968,0.012420141779189153,0.9787755102040816,0.947595661664862,0.031179848539219623,-0.01875970676003047,xgboost
3,0.9629179331306992,0.961640798226164,0.001277134904535182,0.9726984126984128,0.9550642671754414,0.01763414552297149,-0.016357010618436307,xgboost
4,0.9714285714285716,0.9425683494044244,0.028860222024147286,0.9689795918367348,0.9399001701644925,0.02907942167224231,-0.00021919964809502535,xgboost
5,0.9518367346938774,0.977684387837536,-0.025847653143658555,0.9306122448979592,0.9522468244555596,-0.021634579557600397,-0.004213073586058158,xgboost
6,0.9771428571428572,0.9679282902765604,0.009214566866296847,0.9743465045592704,0.9694575018477458,0.004889002711524593,0.0043255641547722545,xgboost
7,0.9686167800453516,0.975609756097561,-0.0069929760522093876,0.9400607902735562,0.9612024957458876,-0.021141705472331407,0.01414872942012202,xgboost
8,0.9828571428571428,0.9609756097560976,0.021881533101045125,0.9485714285714286,0.956531165311653,-0.007959736740224432,0.029841269841269558,xgboost
9,0.9689795918367348,0.9530672579453068,0.015912333891427988,0.9671732522796352,0.931185250118886,0.035988002160749266,-0.02007566826932128,xgboost
10,0.9573773339122884,0.9823355506282336,-0.024958216715945225,0.9614589665653496,0.9541721927155846,0.007286773849764949,-0.032244990565710174,xgboost
11,0.9475814155449414,0.9758366420873512,-0.02825522654240986,0.9557446808510636,0.9620805445263756,-0.006335863675312026,-0.021919362867097836,xgboost
12,0.9614589665653496,0.9618536585365852,-0.00039469197123565003,0.9516630481980024,0.9548233555062822,-0.003160307308279764,0.002765615337044114,xgboost
13,0.9730612244897958,0.9855927396483268,-0.012531515158531015,0.949214068606166,0.9864707884288144,-0.03725671982264844,0.02472520466411743,xgboost
14,0.9645505861919236,0.961640798226164,0.0029097879657595804,0.9787755102040816,0.9657760360267448,0.012999474177336823,-0.010089686211577242,xgboost
15,0.9647242726877984,0.975609756097561,-0.010885483409762586,0.9746938775510204,0.9680433604336044,0.006650517117416044,-0.01753600052717863,xgboost
16,0.9902040816326532,0.9823355506282336,0.007868531004419532,0.9857596371882088,0.968806339057048,0.016953298131160754,-0.009084767126741222,xgboost
17,0.9804081632653062,0.972579453067258,0.007828710198048205,0.9743310657596372,0.9785624366180236,-0.0042313708583863185,0.012060081056434524,xgboost
18,0.9590099869735128,0.9679282902765604,-0.008918303303047548,0.9771428571428572,0.9676190836326968,0.009523773510160427,-0.018442076813207975,xgboost
19,0.9771428571428572,0.9551418896852816,0.022000967457575626,0.95718820861678,0.9683618946126036,-0.011173685995823579,0.033174653453399205,xgboost
0,0.9689795918367348,0.9707317073170731,-0.0017521154803383787,0.9746938775510204,0.9804878048780488,-0.005793927327028325,0.004041811846689947,svm
1,0.96734693877551,0.9853658536585366,-0.018018914883026538,0.96734693877551,0.9804878048780488,-0.013140866102538729,-0.004878048780487809,svm
2,0.9730612244897958,0.977684387837536,-0.004623163347740156,0.9730612244897958,0.977684387837536,-0.004623163347740156,0.0,svm
3,0.965714285714286,0.9634885439763488,0.0022257417379372146,0.9557446808510636,0.9541862183949534,0.0015584624561101323,0.0006672792818270823,svm
4,0.9828571428571428,0.9764878048780488,0.006369337979094003,0.9730612244897958,0.9629585933068632,0.010102631182932642,-0.003733293203838639,svm
5,0.9730612244897958,0.9746540848072328,-0.0015928603174369949,0.9616326530612244,0.9715321335877206,-0.009899480526496252,0.008306620209059257,svm
6,0.9828571428571428,0.9628233555062824,0.020033787350860366,0.9885714285714288,0.9774575018477456,0.011113926723683165,0.0089198606271772,svm
7,0.9771428571428572,0.975609756097561,0.001533101045296248,0.96734693877551,0.9804878048780488,-0.013140866102538729,0.014673967147834976,svm
8,0.9828571428571428,0.9804878048780488,0.0023693379790939995,0.965714285714286,0.9804878048780488,-0.014773519163762794,0.017142857142856793,svm
9,0.9728875379939208,0.9418395641038864,0.03104797389003444,0.965714285714286,0.9451589061345158,0.02055537957977016,0.01049259431026428,svm
10,0.96,0.9823355506282336,-0.02233555062823367,0.965714285714286,0.9774575018477456,-0.011743216133459633,-0.010592334494774036,svm
11,0.9671732522796352,0.9707317073170731,-0.003558455037437902,0.965714285714286,0.9862439024390244,-0.02052961672473841,0.016971161687300507,svm
12,0.9616326530612244,0.96370140428677,-0.0020687512255456175,0.9363265306122448,0.968806339057048,-0.03247980844480325,0.03041105721925763,svm
13,0.96734693877551,0.996,-0.028653061224489962,0.965714285714286,1.0,-0.03428571428571403,0.005632653061224069,svm
14,0.9542857142857144,0.9695491500369549,-0.01526343575124045,0.965714285714286,0.9762749445676274,-0.010560658853341454,-0.004702776897898997,svm
15,0.9802344767694312,0.9902439024390244,-0.010009425669593175,0.986122448979592,0.9758366420873512,0.01028580689224079,-0.020295232561833965,svm
16,0.971897524967434,0.96770140428677,0.004196120680663995,0.971897524967434,0.9639282902765602,0.007969234690873739,-0.003773114010209744,svm
17,0.9844897959183674,0.9639282902765602,0.020561505641807143,0.9844897959183674,0.973684387837536,0.010805408080831413,0.00975609756097573,svm
18,0.9828571428571428,0.9709585933068632,0.01189854955027958,0.9828571428571428,0.9630502414960724,0.019806901361070328,-0.007908351810790748,svm
19,0.9614589665653496,0.9532941439350968,0.008164822630252755,0.9542857142857144,0.9502638409047938,0.0040218733809206375,0.004142949249332117,svm
0,0.970438558402084,0.9667317073170733,0.003706851085010787,0.9733564915327833,0.9578536585365852,0.015502832996198035,-0.011795981911187248,mlp
1,0.9688059053408598,0.9813658536585363,-0.012559948317676595,0.9802344767694312,0.9862439024390244,-0.006009425669593171,-0.006550522648083423,mlp
2,0.9816326530612246,0.984091648189209,-0.00245899512798442,0.9688059053408598,0.9794404853985114,-0.01063458005765161,0.00817558492966719,mlp
3,0.9844897959183674,0.9643665927568368,0.0201232031615306,0.9485714285714286,0.9461862183949534,0.0023852101764751943,0.017737992985055406,mlp
4,0.9745201910551454,0.9764878048780488,-0.0019676138229033358,0.9745201910551454,0.963836642087351,0.010683548967794443,-0.012651162790697779,mlp
5,0.963091619626574,0.9801832963784184,-0.01709167675184442,0.9787755102040816,0.965684387837536,0.013091122366545638,-0.030182799118390058,mlp
6,0.9942857142857144,0.9541721927155846,0.04011352157012982,0.9885714285714288,0.968579453067258,0.019991975504170756,0.02012154606595906,mlp
7,0.9702648719062094,0.9813658536585363,-0.011100981752326988,0.9844897959183674,0.9589585933068634,0.02553120261150399,-0.03663218436383098,mlp
8,0.970030395136778,0.98579945799458,-0.015769062857801996,0.9757446808510638,0.9815927396483268,-0.005848058797263023,-0.009921004060538974,mlp
9,0.9573773339122884,0.9446429811443992,0.012734352767889257,0.9643768996960486,0.9550502414960724,0.009326658199976134,0.003407694567913122,mlp
10,0.971723838471559,0.9650332250468384,0.006690613424720548,0.9689795918367348,0.9800916481892092,-0.011112056352474475,0.017802669777195024,mlp
11,0.963091619626574,0.96770140428677,-0.004609784660196015,0.9743465045592704,0.9733658536585368,0.0009806509007336262,-0.005590435560929641,mlp
12,0.9714285714285716,0.9588233555062824,0.012605215922289248,0.9643614608964152,0.9743355506282334,-0.009974089731818236,0.022579305654107484,mlp
13,0.9745201910551454,0.9880916481892092,-0.013571457134063825,0.9689795918367348,0.996,-0.02702040816326523,0.013448951029201406,mlp
14,0.9601823708206688,0.9691529933481152,-0.008970622527446404,0.9658358662613982,0.9620310421286032,0.003804824132794926,-0.01277544666024133,mlp
15,0.9563352149370388,0.9831219512195124,-0.026786736282473633,0.9763265306122448,0.9718366420873512,0.004489888524893626,-0.03127662480736726,mlp
16,0.978836300477638,0.9703355506282336,0.00850074984940441,0.970438558402084,0.9832135994087212,-0.012775041006637178,0.021275790856041588,mlp
17,0.9787755102040816,0.9743355506282334,0.004439959575848196,0.9859487624837168,0.9783355506282336,0.007613211855483137,-0.0031732522796349416,mlp
18,0.985775075987842,0.9815927396483268,0.004182336339515147,0.9738775510204082,0.9646089482459306,0.009268602774477608,-0.005086266434962461,mlp
19,0.9843161094224924,0.9548233555062822,0.0294927539162102,0.9942857142857144,0.9568979872462572,0.03738772703945725,-0.007894973123247051,mlp
